Selection,View,Channel,Begin Time (s),End Time (s),Delta Time (s),File Offset (s),Low Freq (Hz),High Freq (Hz),Peak Freq (Hz),Begin File,Begin Path,Tonal,Signal strength,Background,AR comment,SNR NIST Quick (dB FS),SNR order,species,certainty,comment,type,WH ID,WH Comment,NEW analysis
11161,Spectrogram 1,1,178732.134633333,178734.723633333,2.589,277.768,46.6,297.1,111.3,1208533023.050110025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050110025015.wav,,,,,37.99,675,BH,High,faint,,,,
9570,Spectrogram 1,1,145329.026633333,145332.382633333,3.356,165.723,38.2,210.2,93.8,1208533023.050101065015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050101065015.wav,,,,,39.22,418,BH,High,,,,,yes
13187,Spectrogram 1,1,230532.806633333,230534.163633333,1.357,192.469,182.1,276.0,205.1,1208533023.050218165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050218165015.wav,,,,,11.04,4999,BH,High,,,,,
9113,Spectrogram 1,1,135900.455033333,135901.226033333,0.771,34.202,69.9,157.3,117.2,1208533023.041226025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041226025015.wav,,,,,-1.25,5694,BH,High,,,,,
9595,Spectrogram 1,1,145496.3147,145497.3137,0.999,33.155,35.0,180.6,123.0,1208533023.050101085015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050101085015.wav,,,,,-1.58,5701,BH,High,,,,,
7659,Spectrogram 1,1,102751.360966667,102753.330966667,1.97,176.742,102.5,250.5,169.9,1208533023.041207025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041207025015.wav,,,,,11.69,4721,BH,High,,,,,yes
4582,Spectrogram 1,1,37359.8483,37360.3213,0.473,169.781,40.1,429.4,52.7,1208533023.041026165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041026165015.wav,X,,,,41.48,90,BH,High,,us,,,
5906,Spectrogram 1,1,59973.364333333,59974.468333333,1.104,288.899,88.0,251.6,193.4,1208533023.041101135015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101135015.wav,,,,,30.57,2819,BH,High,,,,,y
14075,Spectrogram 1,1,251795.8993,251798.7133,2.814,160.715,62.2,305.0,140.6,1208533023.050315125015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050315125015.wav,,,,,32.85,2222,BH,High,,,,,yes
13896,Spectrogram 1,1,245725.1823,245727.5423,2.36,88.714,31.1,236.5,152.3,1208533023.050312115015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050312115015.wav,,,,,29.28,3032,BH,High,,,,,yes
5886,Spectrogram 1,1,59541.3793,59542.0813,0.702,156.888,51.5,183.2,93.8,1208533023.041101125015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101125015.wav,,,,,-1.09,5686,BH,High,,short,,,
3468,Spectrogram 1,1,19092.277633333,19095.849633333,3.572,197.704,113.8,431.1,293.0,1208533023.041015015015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041015015015.wav,,,,,13.45,4077,BH,High,,,,,yes
5960,Spectrogram 1,1,60994.7897,60996.7167,1.927,110.51,36.7,268.8,111.3,1208533023.041101185015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101185015.wav,,,,,30.32,2869,BH,High,,,,,y
2904,Spectrogram 1,1,15447.546966667,15448.845966667,1.299,151.689,59.9,263.5,158.2,1208533023.041014095015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014095015.wav,,,,,32.2,2413,BH,High,,,,,yes
11680,Spectrogram 1,1,187897.986633333,187901.862633333,3.876,146.188,65.3,1556.4,152.3,1208533023.050112035015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050112035015.wav,,,,,13.31,4132,BH,High,,,,,yes
6392,Spectrogram 1,1,73098.890366667,73102.160366667,3.27,216.931,72.5,200.7,164.1,1208533023.041117075015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041117075015.wav,,,,,36.43,1058,BH,High,,,,,y
10239,Spectrogram 1,1,159341.842966667,159344.960966667,3.118,82.386,117.6,1141.2,281.2,1208533023.050105065015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050105065015.wav,,,,,11.65,4735,BH,High,,,,,yes
7532,Spectrogram 1,1,99952.352633333,99953.420633333,1.068,77.211,80.6,149.7,111.3,1208533023.041204205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041204205015.wav,,,,,-7.03,5957,BH,High,,,,,
9349,Spectrogram 1,1,141701.104633333,141702.965633333,1.861,136.58,104.9,227.2,158.2,1208533023.041231025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041231025015.wav,,,,,11.26,4909,BH,High,,,,,
9617,Spectrogram 1,1,145625.9377,145626.4637,0.526,162.778,122.3,262.1,216.8,1208533023.050101085015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050101085015.wav,,,,,12.74,4327,BH,High,,short,,,
12041,Spectrogram 1,1,196039.715666667,196042.790666667,3.075,189.924,72.0,264.0,111.3,1208533023.050114215015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050114215015.wav,,,,,38.09,650,BH,High,,,,,yes
14047,Spectrogram 1,1,251042.557666666,251044.658666666,2.101,7.213,69.9,413.6,164.1,1208533023.050315075015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050315075015.wav,,,,,32.69,2266,BH,High,,"us, 3 notes",,,
10496,Spectrogram 1,1,167558.158,167559.064,0.906,200.927,209.7,302.9,263.7,1208533023.050107045015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050107045015.wav,,,,,12.05,4589,BH,High,faint,,,,
6297,Spectrogram 1,1,69701.934633333,69703.231633333,1.297,119.368,68.8,292.5,222.7,1208533023.041114005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041114005015.wav,,,,,35.8,1261,BH,High,,,,,
11707,Spectrogram 1,1,188506.874633333,188509.342633333,2.468,155.208,65.3,2780.2,128.9,1208533023.050112055015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050112055015.wav,,,,,15.1,3666,BH,High,,broadband,,,yes
11018,Spectrogram 1,1,175752.144033333,175754.201033333,2.057,297.002,41.9,437.1,181.6,1208533023.050109155015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050109155015.wav,,,,,40.73,182,BH,High,,,,,yes
8984,Spectrogram 1,1,132346.779966667,132350.265966666,3.486,79.504,46.7,180.9,117.2,1208533023.041223065015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041223065015.wav,,,,,-8.8,5980,BH,High,,,,,yes
10105,Spectrogram 1,1,155584.874,155586.259,1.385,224.532,52.9,335.3,134.8,1208533023.050104105015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050104105015.wav,,,,,34.87,1540,BH,High,,,,,yes
3750,Spectrogram 1,1,22300.148966667,22300.713966667,0.565,106.353,176.1,440.3,345.7,1208533023.041016165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041016165015.wav,,,,,10.86,5079,BH,High,,us,,,
11808,Spectrogram 1,1,190556.947633333,190559.480633333,2.533,105.822,83.8,245.5,87.9,1208533023.050113155015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050113155015.wav,,,,,31.3,2653,BH,High,,,,,yes
7548,Spectrogram 1,1,100405.658633333,100407.499633333,1.841,230.623,75.4,249.5,152.3,1208533023.041204215015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041204215015.wav,,,,,31.64,2575,BH,High,,,,,yes
5589,Spectrogram 1,1,55078.596333333,55080.175333333,1.579,193.159,183.2,297.7,287.1,1208533023.041031165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031165015.wav,,,,,10.96,5034,BH,High,,,,,
8885,Spectrogram 1,1,129090.740366667,129094.940366667,4.2,122.922,109.8,341.0,181.6,1208533023.041221175015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041221175015.wav,,,,,11.51,4800,BH,High,,,,,yes
1879,Spectrogram 1,1,5888.727333333,5890.351333333,1.624,189.931,53.6,506.0,58.6,1208533023.041005035015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041005035015.wav,3,1.0,3.0,,40.99,145,BH,High,,,,,yes
5686,Spectrogram 1,1,56164.7903,56166.9343,2.144,79.554,42.8,617.1,164.1,1208533023.041031205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031205015.wav,,,,,33.68,1953,BH,High,us,ssong,,,y
9934,Spectrogram 1,1,150968.587966666,150969.547966666,0.96,107.007,87.4,180.6,128.9,1208533023.050102205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050102205015.wav,,,,,-5.11,5869,BH,High,faint,,,,
2040,Spectrogram 1,1,6499.141033333,6501.126033333,1.985,200.484,54.2,319.3,199.2,1208533023.041005205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041005205015.wav,,,,,33.48,2017,BH,High,,,,,
13986,Spectrogram 1,1,249413.836,249415.676,1.84,178.163,68.5,2265.6,187.5,1208533023.050314195015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050314195015.wav,,,,,14.37,3823,BH,High,,broadband,,,yes
9928,Spectrogram 1,1,150860.754033333,150861.555033333,0.801,299.107,35.3,241.2,41.0,1208533023.050102175015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050102175015.wav,,,,,26.14,3216,BH,High,,,,,yes
10760,Spectrogram 1,1,172066.803,172068.903,2.1,210.85,41.9,185.6,111.3,1208533023.050108235015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050108235015.wav,,,,,-1.18,5689,BH,High,,,,,yes
5566,Spectrogram 1,1,54890.578333333,54892.501333333,1.923,5.141,280.5,927.5,369.1,1208533023.041031165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031165015.wav,,,,,11.91,4640,BH,High,loud,us,,,
5153,Spectrogram 1,1,49664.4693,49666.3963,1.927,177.566,99.0,364.9,187.5,1208533023.041029235015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041029235015.wav,,,,,12.05,4586,BH,High,us,ssong,,,y
3401,Spectrogram 1,1,18745.838633333,18746.517633333,0.679,151.169,224.2,1037.8,351.6,1208533023.041015005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041015005015.wav,,,,,12.92,4270,BH,High,,,,,
3925,Spectrogram 1,1,24589.626966667,24591.402966667,1.776,296.401,23.7,378.7,128.9,1208533023.041019215015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041019215015.wav,,,,,38.75,501,BH,High,us,ssong,,,yes
6431,Spectrogram 1,1,73711.571,73714.558,2.987,229.722,28.0,403.0,187.5,1208533023.041117125015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041117125015.wav,,,,,35.37,1383,BH,High,,,,,y
8475,Spectrogram 1,1,120775.4163,120777.4293,2.013,205.464,64.9,357.1,140.6,1208533023.041219155015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041219155015.wav,,,,,38.49,567,BH,High,,,,,yes
6892,Spectrogram 1,1,86187.362033333,86188.308033333,0.946,108.495,91.6,206.1,134.8,1208533023.041124205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041124205015.wav,,,,,35.31,1402,BH,High,,,,,
12044,Spectrogram 1,1,196190.997366667,196192.799366667,1.802,41.319,93.0,1063.9,123.0,1208533023.050115025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050115025015.wav,,,,,17.76,3408,BH,High,,,,,
7,Spectrogram 1,1,282.9496,284.72311,1.774,282.95,144.9,335.2,193.4,1208533023.040320075015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.040320075015.wav,,,,,10.07,5365,BH,High,,,BH,,
3711,Spectrogram 1,1,21937.293666667,21942.510666667,5.217,43.419,143.7,353.3,316.4,1208533023.041016145015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041016145015.wav,,,,,11.79,4681,BH,High,,,,,yes
12261,Spectrogram 1,1,201805.569966666,201806.630966666,1.061,257.524,40.2,315.5,158.2,1208533023.050116155015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050116155015.wav,,,,,32.77,2249,BH,High,,,,,yes
7080,Spectrogram 1,1,90520.547966667,90520.890966666,0.343,243.027,97.5,240.9,164.1,1208533023.041125165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041125165015.wav,,,,,10.4,5256,BH,High,faint,,,,
13608,Spectrogram 1,1,241255.7027,241257.1367,1.434,118.289,52.4,174.7,111.3,1208533023.050309105015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050309105015.wav,,,,,-6.1,5921,BH,High,faint,,,,
11136,Spectrogram 1,1,178262.4467,178263.9617,1.515,107.994,149.7,347.3,257.8,1208533023.050110015015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050110015015.wav,,,,,12.22,4513,BH,High,,,,,yes
10948,Spectrogram 1,1,174948.865666667,174951.571666667,2.706,93.563,89.8,221.6,158.2,1208533023.050109125015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050109125015.wav,,,,,35.15,1448,BH,High,,,,,yes
10368,Spectrogram 1,1,163855.125966667,163856.879966667,1.754,96.751,47.1,211.8,117.2,1208533023.050106075015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050106075015.wav,,,,,30.26,2880,BH,High,,,,,yes
3230,Spectrogram 1,1,17685.678333333,17691.178333333,5.5,290.585,50.8,584.3,310.5,1208533023.041014195015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014195015.wav,,,,,36.7,983,BH,High,,,,,yes
7570,Spectrogram 1,1,101226.855633333,101230.102633333,3.247,152.013,92.8,232.1,146.5,1208533023.041205185015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041205185015.wav,,,,,33.52,2004,BH,High,,,,,yes
5592,Spectrogram 1,1,55116.035333333,55118.179333333,2.144,230.598,121.5,2396.6,205.1,1208533023.041031165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031165015.wav,,,,,14.31,3837,BH,High,loud,us,,,
995,Spectrogram 1,1,2489.058,2489.939,0.881,89.517,260.4,532.5,380.9,1208533023.040929145015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.040929145015.wav,,,,,11.62,4743,BH,High,,,,,
9037,Spectrogram 1,1,133552.878,133554.075,1.197,85.887,40.8,198.1,169.9,1208533023.041223145015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041223145015.wav,,,,,33.67,1959,BH,High,,,,,
3760,Spectrogram 1,1,22328.135966667,22328.974966667,0.839,134.34,41.1,510.8,46.9,1208533023.041016165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041016165015.wav,,,,,39.84,310,BH,High,,us,,,
5675,Spectrogram 1,1,56065.346366667,56066.904366667,1.558,280.051,95.0,630.8,275.4,1208533023.041031195015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031195015.wav,,,,,12.63,4375,BH,High,,,,,y
12954,Spectrogram 1,1,222330.617333333,222332.059333333,1.442,88.44,57.7,283.2,134.8,1208533023.050209025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050209025015.wav,,,,,33.62,1973,BH,High,,,,,
12938,Spectrogram 1,1,221947.947366666,221950.523366666,2.576,5.673,63.7,254.8,128.9,1208533023.050209015015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050209015015.wav,,,,,30.61,2813,BH,High,,,,,yes
6019,Spectrogram 1,1,61887.563033333,61888.692033334,1.129,103.414,177.5,274.8,222.7,1208533023.041101225015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101225015.wav,,,,,11.14,4960,BH,High,,,,,
7290,Spectrogram 1,1,95673.889033333,95674.636033333,0.747,297.775,186.0,302.3,246.1,1208533023.041128145015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041128145015.wav,,,,,9.84,5410,BH,High,,,,,
5631,Spectrogram 1,1,55556.009333333,55558.651333333,2.642,70.665,43.2,3793.3,187.5,1208533023.041031185015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041031185015.wav,,,,,15.5,3602,BH,High,us,ssong,,,y
11650,Spectrogram 1,1,187475.742666667,187481.004666667,5.262,23.786,35.6,2281.2,87.9,1208533023.050112025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050112025015.wav,,,,,15.1,3667,BH,High,,roar,,,yes
10919,Spectrogram 1,1,174564.156666667,174566.191666666,2.035,8.834,47.9,556.9,146.5,1208533023.050109115015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050109115015.wav,,,,,39.23,416,BH,High,,,,,yes
9047,Spectrogram 1,1,133707.23,133708.708,1.478,240.239,75.7,192.2,158.2,1208533023.041223145015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041223145015.wav,,,,,33.01,2165,BH,High,,us,,,
4572,Spectrogram 1,1,37227.0793,37227.6893,0.61,37.012,85.9,280.5,134.8,1208533023.041026165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041026165015.wav,,,,,35.08,1468,BH,High,,us,,,
13709,Spectrogram 1,1,242643.183,242645.608,2.425,6.106,31.2,231.2,105.5,1208533023.050310015015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050310015015.wav,,,,,29.83,2955,BH,High,,,,,yes
2268,Spectrogram 1,1,9388.808633333,9389.747633333,0.939,90.862,53.0,253.4,93.8,1208533023.041012025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041012025015.wav,,,,,32.88,2210,BH,High,,,,,
12498,Spectrogram 1,1,208549.6043,208552.7003,3.096,103.332,57.4,367.1,58.6,1208533023.050125055015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050125055015.wav,,,,,37.33,830,BH,High,,,,,yes
7426,Spectrogram 1,1,98240.9497,98242.2917,1.342,165.497,108.0,246.0,193.4,1208533023.041202145015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041202145015.wav,,,,,14.4,3819,BH,High,,,,,yes
9408,Spectrogram 1,1,142843.3003,142850.0763,6.776,79.109,38.2,458.6,105.5,1208533023.041231165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041231165015.wav,3,2.0,3.0,,42.05,54,BH,High,,,,,yes
2529,Spectrogram 1,1,13285.8847,13287.8747,1.99,89.182,131.7,509.0,134.8,1208533023.041014015015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014015015.wav,,,,,15.61,3584,BH,High,ds,ssong,,,yes
12613,Spectrogram 1,1,212285.210033333,212286.758033333,1.548,240.1,116.0,208.9,152.3,1208533023.050131085015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050131085015.wav,,,,,10.46,5235,BH,High,,,,,
12227,Spectrogram 1,1,201167.4,201170.02,2.62,219.21,45.9,550.7,99.6,1208533023.050116125015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050116125015.wav,,,,,34.9,1529,BH,High,,,,,yes
10984,Spectrogram 1,1,175403.061633333,175406.136633334,3.075,247.9,35.9,568.9,123.0,1208533023.050109135015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050109135015.wav,3,1.0,3.0,,42.88,26,BH,High,,,,,yes
8092,Spectrogram 1,1,113538.699966667,113541.622966667,2.923,166.793,51.6,245.2,58.6,1208533023.041215185015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041215185015.wav,,,,,31.18,2682,BH,High,,,,,yes
4029,Spectrogram 1,1,25219.657033333,25220.869033333,1.212,26.61,53.3,384.6,210.9,1208533023.041020085015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041020085015.wav,,,,,34.57,1655,BH,High,us,ssong,,,yes
3252,Spectrogram 1,1,17862.816366667,17867.514366667,4.698,167.882,71.9,1209.6,222.7,1208533023.041014205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014205015.wav,,,,,22.32,3312,BH,High,,,,,yes
2865,Spectrogram 1,1,15154.522,15155.561,1.039,158.506,47.9,191.6,128.9,1208533023.041014085015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014085015.wav,,,,,31.47,2616,BH,High,,,,,yes
10781,Spectrogram 1,1,172378.435033333,172380.124033333,1.689,222.565,83.8,820.4,210.9,1208533023.050109005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050109005015.wav,,,,,21.21,3327,BH,High,,,,,yes
2496,Spectrogram 1,1,13107.690666667,13110.266666667,2.576,210.895,53.9,455.1,123.0,1208533023.041014005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014005015.wav,,,,,38.06,655,BH,High,,,,,yes
12407,Spectrogram 1,1,205781.1367,205783.6937,2.557,34.13,58.0,220.5,134.8,1208533023.050120025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050120025015.wav,,,,,30.1,2907,BH,High,faint,,,,
3086,Spectrogram 1,1,16596.964366667,16600.026366667,3.062,101.555,101.8,886.2,275.4,1208533023.041014165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041014165015.wav,,,,,12.13,4547,BH,High,ds,ssong,,,yes
2271,Spectrogram 1,1,9441.988633333,9442.944633333,0.956,144.042,29.5,176.8,111.3,1208533023.041012025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041012025015.wav,,,,,-1.03,5683,BH,High,,,,,
3638,Spectrogram 1,1,20755.5717,20756.6547,1.083,61.355,217.2,358.1,281.2,1208533023.041015205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041015205015.wav,,,,,11.46,4819,BH,High,,,,,
11345,Spectrogram 1,1,181555.777966667,181557.899966667,2.122,102.353,83.8,281.4,205.1,1208533023.050110155015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050110155015.wav,,,,,36.48,1048,BH,High,,,,,yes
4426,Spectrogram 1,1,33083.856333333,33085.112333333,1.256,92.754,29.9,221.6,105.5,1208533023.041024095015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041024095015.wav,,,,,32.32,2384,BH,High,,,,,y
7239,Spectrogram 1,1,94508.218,94509.279,1.061,31.912,51.6,149.1,76.2,1208533023.041126225015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041126225015.wav,,,,,-0.82,5677,BH,High,,low,,,
7902,Spectrogram 1,1,109595.7787,109596.7017,0.923,122.949,126.7,224.6,187.5,1208533023.041210065015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041210065015.wav,,,,,10.64,5159,BH,High,,,,,
5861,Spectrogram 1,1,59271.345333333,59272.774333333,1.429,186.843,100.6,283.0,175.8,1208533023.041101115015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101115015.wav,,,,,12.37,4461,BH,High,,,,,y
13170,Spectrogram 1,1,230322.565966666,230324.297966666,1.732,282.126,61.6,412.7,169.9,1208533023.050218105015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050218105015.wav,,,,,31.86,2512,BH,High,,,,,yes
11664,Spectrogram 1,1,187699.062666667,187705.774666666,6.712,247.106,29.7,2215.8,1728.5,1208533023.050112025015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050112025015.wav,,,,,13.68,3999,BH,High,,roar,,,yes
10031,Spectrogram 1,1,153396.918633333,153397.727633333,0.809,135.954,168.9,238.8,199.2,1208533023.050103205015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.050103205015.wav,,,,,9.67,5455,BH,High,faint,,,,
3398,Spectrogram 1,1,18738.111633333,18738.767633334,0.656,143.442,182.7,523.1,287.1,1208533023.041015005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041015005015.wav,,,,,10.91,5055,BH,High,,,,,
1757,Spectrogram 1,1,5123.005333333,5124.092333333,1.087,24.007,127.3,500.6,392.6,1208533023.041005005015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041005005015.wav,,,,,12.94,4262,BH,High,,,,,
5864,Spectrogram 1,1,59298.383333333,59300.873333333,2.49,213.881,37.7,251.6,187.5,1208533023.041101115015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041101115015.wav,,,,,30.83,2768,BH,High,,,,,y
8072,Spectrogram 1,1,113288.808666667,113289.609666667,0.801,216.813,126.7,224.6,169.9,1208533023.041215165015.wav,D:\Cape_Bathurst_300_2018_2019\1208533023.041215165015.wav,,,,,10.11,5356,BH,High,,,,,
